Drug	Protein
2315	Q12791
2343	Q12791
3647	Q12791
4121	Q12791
5560	Q12791
2733	Q12791
2910	Q12791
2520	Q12791
3019	Q16558
2520	Q16558
3019	Q92952
3386	Q92952
62857	Q92952
10649	Q92952
23422	Q92952
2520	Q92952
3019	Q9H2S1
3386	Q9H2S1
66064	Q9H2S1
11065	Q9H2S1
62857	Q9H2S1
5282418	Q9H2S1
23422	Q9H2S1
11954233	Q9H2S1
2520	Q9H2S1
6431825	Q9H2S1
23724898	Q9H2S1
3019	Q9UGI6
3386	Q9UGI6
6014	Q9UGI6
67356	Q9UGI6
11065	Q9UGI6
65327	Q9UGI6
441358	Q9UGI6
62857	Q9UGI6
63030	Q9UGI6
5282479	Q9UGI6
2520	Q9UGI6
6431825	Q9UGI6
23724898	Q9UGI6
9433	O15554
3019	O15554
47576	O15554
3562	O15554
64119	O15554
23675769	O15554
2520	O15554
23669229	O15554
66383	O15554
3019	Q96AI9
3702	Q96AI9
65329	Q96AI9
2520	Q96AI9
9571003	Q96AI9
3019	O43526
2520	O43526
3019	O43525
2520	O43525
3019	A2RUL8
2520	A2RUL8
3019	Q9ULS6
2520	Q9ULS6
3019	Q9BQ31
2520	Q9BQ31
68540	Q16515
68540	A8K1U5
2519	P51575
2519	P56373
2519	Q99571
2519	Q93086
2519	Q99572
3019	Q2YDA1
2520	Q2YDA1
3019	A0A024R9H3
2520	A0A024R9H3
2554	Q9NY37
3114	Q9NY37
3446	Q9NY37
1775	Q9NY37
5734	Q9NY37
2337	Q9NY37
68540	Q9NY37
5070	Q9NY37
2520	Q9NY37
3446	P98161
4485	P98161
1775	P98161
3562	P98161
16362	P98161
4499	P98161
4507	P98161
68540	P98161
1547484	P98161
2520	P98161
3019	P57789
64642	P57789
64640	P57789
2520	P57789
3446	Q9H1D0
4485	Q9H1D0
1775	Q9H1D0
3562	Q9H1D0
16362	Q9H1D0
4499	Q9H1D0
4507	Q9H1D0
1547484	Q9H1D0
2520	Q9H1D0
2554	A0A8I5KPF5
3114	A0A8I5KPF5
3446	A0A8I5KPF5
1775	A0A8I5KPF5
5734	A0A8I5KPF5
2337	A0A8I5KPF5
68540	A0A8I5KPF5
5070	A0A8I5KPF5
2520	A0A8I5KPF5
5362471	Q9UGM1
4737	Q9UGM1
5831	Q9UGM1
13221	Q9UGM1
4168	Q9UGM1
6321303	Q9UGM1
121587	Q9UGM1
5938	Q9UGM1
23422	Q9UGM1
89594	Q9UGM1
21155870	Q9UGM1
6419928	Q9UGM1
2735102	Q9UGM1
9795678	Q9UGM1
3446	Q8IZS8
4485	Q8IZS8
1775	Q8IZS8
3562	Q8IZS8
16362	Q8IZS8
4499	Q8IZS8
4507	Q8IZS8
1547484	Q8IZS8
2520	Q8IZS8
2554	A0A024R3H7
3114	A0A024R3H7
3446	A0A024R3H7
1775	A0A024R3H7
5734	A0A024R3H7
2337	A0A024R3H7
5070	A0A024R3H7
2520	A0A024R3H7
2118	Q9UN88
3016	Q9UN88
3393	Q9UN88
4737	Q9UN88
5719	Q9UN88
3763	Q9UN88
5206	Q9UN88
667484	Q9UN88
4943	Q9UN88
4192	Q9UN88
3019	Q9NR82
2520	Q9NR82
3019	Q9HB14
3562	Q9HB14
2520	Q9HB14
3562	Q9HB15
5362471	Q9GZZ6
4737	Q9GZZ6
5831	Q9GZZ6
13221	Q9GZZ6
4168	Q9GZZ6
6321303	Q9GZZ6
121587	Q9GZZ6
5938	Q9GZZ6
23422	Q9GZZ6
89594	Q9GZZ6
21155870	Q9GZZ6
6419928	Q9GZZ6
2735102	Q9GZZ6
9795678	Q9GZZ6
68540	Q9GZU1
3019	Q9P1Z3
2520	Q9P1Z3
3446	P62955
4485	P62955
1775	P62955
3562	P62955
16362	P62955
4499	P62955
4507	P62955
1547484	P62955
2520	P62955
3019	Q9H427
2520	Q9H427
9433	P21817
3446	P21817
4485	P21817
1775	P21817
2519	P21817
16362	P21817
4499	P21817
4507	P21817
5795	P21817
443939	P21817
1547484	P21817
19648	P21817
64119	P21817
23675769	P21817
6914273	P21817
2520	P21817
23669229	P21817
9433	Q92736
3446	Q92736
4485	Q92736
1775	Q92736
2519	Q92736
16362	Q92736
4499	Q92736
4507	Q92736
5795	Q92736
443939	Q92736
1547484	Q92736
19648	Q92736
64119	Q92736
23675769	Q92736
2520	Q92736
23669229	Q92736
9433	Q15413
3446	Q15413
4485	Q15413
1775	Q15413
2519	Q15413
16362	Q15413
4499	Q15413
4507	Q15413
5795	Q15413
443939	Q15413
1547484	Q15413
19648	Q15413
64119	Q15413
23675769	Q15413
2520	Q15413
23669229	Q15413
3878	P35498
3676	P35498
66068	P35498
4753	P35498
5284627	P35498
5734	P35498
41022	P35498
21467	P35498
36708	P35498
64642	P35498
5284583	P35498
441348	P35498
68304	P35498
66070	P35498
73957	P35498
5795	P35498
8695	P35498
92163	P35498
117965	P35498
5282419	P35498
6314	P35498
34632	P35498
108173	P35498
517321	P35498
64640	P35498
48040	P35498
6918111	P35498
2554	Q07699
3114	Q07699
3446	Q07699
1775	Q07699
5734	Q07699
2337	Q07699
5070	Q07699
2520	Q07699
3878	Q99250
3676	Q99250
66068	Q99250
41022	Q99250
21467	Q99250
36708	Q99250
64642	Q99250
441348	Q99250
68304	Q99250
66070	Q99250
73957	Q99250
5795	Q99250
8695	Q99250
92163	Q99250
117965	Q99250
5282419	Q99250
6314	Q99250
34632	Q99250
108173	Q99250
517321	Q99250
64640	Q99250
48040	Q99250
6918111	Q99250
2554	Q9NY46
3114	Q9NY46
3446	Q9NY46
3878	Q9NY46
3676	Q9NY46
66068	Q9NY46
1775	Q9NY46
5734	Q9NY46
2337	Q9NY46
41022	Q9NY46
21467	Q9NY46
36708	Q9NY46
64642	Q9NY46
441348	Q9NY46
68304	Q9NY46
66070	Q9NY46
73957	Q9NY46
5795	Q9NY46
8695	Q9NY46
5070	Q9NY46
92163	Q9NY46
117965	Q9NY46
5282419	Q9NY46
6314	Q9NY46
34632	Q9NY46
108173	Q9NY46
517321	Q9NY46
64640	Q9NY46
2520	Q9NY46
48040	Q9NY46
6918111	Q9NY46
2554	P35499
3114	P35499
3446	P35499
3878	P35499
3676	P35499
66068	P35499
1775	P35499
5734	P35499
2337	P35499
41022	P35499
21467	P35499
36708	P35499
64642	P35499
441348	P35499
68304	P35499
66070	P35499
73957	P35499
5795	P35499
8695	P35499
5070	P35499
92163	P35499
117965	P35499
5282419	P35499
6314	P35499
34632	P35499
108173	P35499
517321	P35499
64640	P35499
2520	P35499
48040	P35499
6918111	P35499
2554	B0YJ93
3114	B0YJ93
3446	B0YJ93
1775	B0YJ93
5734	B0YJ93
2337	B0YJ93
5070	B0YJ93
2520	B0YJ93
122142	H9KVD2
2554	H9KVD2
3114	H9KVD2
3446	H9KVD2
3878	H9KVD2
3676	H9KVD2
66068	H9KVD2
1775	H9KVD2
34312	H9KVD2
4906	H9KVD2
41022	H9KVD2
21467	H9KVD2
36708	H9KVD2
64642	H9KVD2
3292	H9KVD2
441348	H9KVD2
3025	H9KVD2
68304	H9KVD2
66070	H9KVD2
73957	H9KVD2
5795	H9KVD2
8695	H9KVD2
5070	H9KVD2
92163	H9KVD2
117965	H9KVD2
5282419	H9KVD2
6314	H9KVD2
34632	H9KVD2
108173	H9KVD2
517321	H9KVD2
64640	H9KVD2
2520	H9KVD2
48040	H9KVD2
6918111	H9KVD2
34633	H9KVD2
38945	H9KVD2
2554	Q01118
3114	Q01118
3446	Q01118
1775	Q01118
5734	Q01118
2337	Q01118
5070	Q01118
2520	Q01118
3878	Q6B4S4
3676	Q6B4S4
66068	Q6B4S4
41022	Q6B4S4
21467	Q6B4S4
36708	Q6B4S4
64642	Q6B4S4
441348	Q6B4S4
68304	Q6B4S4
66070	Q6B4S4
73957	Q6B4S4
5795	Q6B4S4
8695	Q6B4S4
92163	Q6B4S4
117965	Q6B4S4
5282419	Q6B4S4
6314	Q6B4S4
34632	Q6B4S4
108173	Q6B4S4
517321	Q6B4S4
64640	Q6B4S4
48040	Q6B4S4
6918111	Q6B4S4
3878	Q15858
3676	Q15858
66068	Q15858
41022	Q15858
21467	Q15858
36708	Q15858
64642	Q15858
441348	Q15858
68304	Q15858
66070	Q15858
73957	Q15858
5795	Q15858
8695	Q15858
92163	Q15858
117965	Q15858
5282419	Q15858
6314	Q15858
34632	Q15858
108173	Q15858
517321	Q15858
64640	Q15858
48040	Q15858
6918111	Q15858
122142	Q9Y5Y9
2554	Q9Y5Y9
3114	Q9Y5Y9
3446	Q9Y5Y9
3676	Q9Y5Y9
1775	Q9Y5Y9
5734	Q9Y5Y9
2337	Q9Y5Y9
441348	Q9Y5Y9
3025	Q9Y5Y9
68304	Q9Y5Y9
66070	Q9Y5Y9
73957	Q9Y5Y9
5795	Q9Y5Y9
8695	Q9Y5Y9
5070	Q9Y5Y9
92163	Q9Y5Y9
117965	Q9Y5Y9
5282419	Q9Y5Y9
6420040	Q9Y5Y9
6314	Q9Y5Y9
517321	Q9Y5Y9
2520	Q9Y5Y9
6918111	Q9Y5Y9
2554	P37088
3114	P37088
3446	P37088
1775	P37088
5734	P37088
2337	P37088
68540	P37088
5070	P37088
2520	P37088
2554	B2R812
3114	B2R812
3446	B2R812
1775	B2R812
5734	B2R812
2337	B2R812
68540	B2R812
5070	B2R812
2520	B2R812
2554	P51172
3114	P51172
3446	P51172
1775	P51172
5734	P51172
2337	P51172
68540	P51172
5070	P51172
2520	P51172
2554	A5X2V1
3114	A5X2V1
3446	A5X2V1
1775	A5X2V1
5734	A5X2V1
2337	A5X2V1
68540	A5X2V1
5070	A5X2V1
2520	A5X2V1
122142	A0A024R2K8
122142	A0A024R6T9
2170	A0A024R6T9
4020	A0A024R6T9
5584	A0A024R6T9
68552	A0A024R6T9
8248	A0A024R6T9
65328	A0A024R6T9
4011	A0A024R6T9
4158	A0A024R6T9
4771	A0A024R6T9
122142	Q01959
4020	Q01959
4158	Q01959
4771	Q01959
122142	B2R7Y7
2170	B2R7Y7
5584	B2R7Y7
68617	B2R7Y7
43815	B2R7Y7
5360696	B2R7Y7
145742	Q99884
3019	Q09428
3488	Q09428
5505	Q09428
2161	Q09428
68540	Q9Y210
3333	O00555
3446	O00555
4485	O00555
1775	O00555
3562	O00555
16362	O00555
60496	O00555
41114	O00555
4499	O00555
4507	O00555
1547484	O00555
2520	O00555
6435922	O00555
60662	O00555
3446	Q00975
4485	Q00975
1775	Q00975
3562	Q00975
16362	Q00975
4499	Q00975
4507	Q00975
1547484	Q00975
2520	Q00975
3333	Q5V9X9
3446	Q5V9X9
3784	Q5V9X9
4485	Q5V9X9
4497	Q5V9X9
1775	Q5V9X9
3562	Q5V9X9
16362	Q5V9X9
60496	Q5V9X9
62920	Q5V9X9
41114	Q5V9X9
4499	Q5V9X9
62969	Q5V9X9
4507	Q5V9X9
5281065	Q5V9X9
24843	Q5V9X9
1547484	Q5V9X9
119442	Q5V9X9
2520	Q5V9X9
6435922	Q5V9X9
3037122	Q5V9X9
3333	Q59GD8
3446	Q59GD8
3784	Q59GD8
4485	Q59GD8
4497	Q59GD8
1775	Q59GD8
3562	Q59GD8
16362	Q59GD8
60496	Q59GD8
41114	Q59GD8
4499	Q59GD8
4507	Q59GD8
1547484	Q59GD8
2520	Q59GD8
6435922	Q59GD8
3446	Q59FG1
4485	Q59FG1
1775	Q59FG1
3562	Q59FG1
16362	Q59FG1
4499	Q59FG1
4507	Q59FG1
1547484	Q59FG1
2520	Q59FG1
60662	Q59FG1
3333	O60840
3446	O60840
3784	O60840
4485	O60840
4497	O60840
1775	O60840
3562	O60840
16362	O60840
60496	O60840
62920	O60840
41114	O60840
4499	O60840
4507	O60840
1547484	O60840
2520	O60840
6435922	O60840
3037122	O60840
3333	Q13698
3446	Q13698
3784	Q13698
4485	Q13698
1775	Q13698
3562	Q13698
16362	Q13698
60496	Q13698
62920	Q13698
41114	Q13698
4499	Q13698
62969	Q13698
4507	Q13698
1547484	Q13698
119442	Q13698
2520	Q13698
6435922	Q13698
3037122	Q13698
3446	P54289
3784	P54289
4485	P54289
1775	P54289
3562	P54289
16362	P54289
4499	P54289
4507	P54289
5281065	P54289
24843	P54289
1547484	P54289
2520	P54289
3446	Q02641
4485	Q02641
1775	Q02641
3562	Q02641
16362	Q02641
4499	Q02641
4507	Q02641
5281065	Q02641
1547484	Q02641
2520	Q02641
3446	Q08289
3784	Q08289
4485	Q08289
4497	Q08289
1775	Q08289
3562	Q08289
16362	Q08289
4499	Q08289
4507	Q08289
1547484	Q08289
2520	Q08289
3446	P54284
4485	P54284
1775	P54284
3562	P54284
16362	P54284
4499	P54284
4507	P54284
1547484	P54284
2520	P54284
3446	O00305
4485	O00305
1775	O00305
3562	O00305
16362	O00305
4499	O00305
4507	O00305
1547484	O00305
2520	O00305
3446	Q06432
3784	Q06432
4485	Q06432
4497	Q06432
1775	Q06432
3562	Q06432
16362	Q06432
4499	Q06432
4507	Q06432
5281065	Q06432
24843	Q06432
1547484	Q06432
2520	Q06432
3019	Q14722
2520	Q14722
656664	Q9UPF3
3019	Q9H252
5281065	Q9H252
2520	Q9H252
3019	Q96T55
64642	Q96T55
64640	Q96T55
2520	Q96T55
3019	A1PR14
2520	A1PR14
3019	A0A024RD32
3676	A0A024RD32
36708	A0A024RD32
64642	A0A024RD32
441348	A0A024RD32
68304	A0A024RD32
66070	A0A024RD32
73957	A0A024RD32
5795	A0A024RD32
8695	A0A024RD32
92163	A0A024RD32
117965	A0A024RD32
5282419	A0A024RD32
6314	A0A024RD32
64640	A0A024RD32
2520	A0A024RD32
6918111	A0A024RD32
3446	Q9P0X4
3784	Q9P0X4
4485	Q9P0X4
8280	Q9P0X4
1775	Q9P0X4
5734	Q9P0X4
3291	Q9P0X4
3562	Q9P0X4
16362	Q9P0X4
4499	Q9P0X4
4507	Q9P0X4
1547484	Q9P0X4
2520	Q9P0X4
33630	Q9P0X4
60662	Q9P0X4
3446	B3KQH9
3784	B3KQH9
4485	B3KQH9
1775	B3KQH9
5734	B3KQH9
3291	B3KQH9
3562	B3KQH9
16362	B3KQH9
4499	B3KQH9
4507	B3KQH9
68540	B3KQH9
1547484	B3KQH9
2520	B3KQH9
33630	B3KQH9
60662	B3KQH9
3446	O43497
3784	O43497
5576	O43497
4485	O43497
1775	O43497
5734	O43497
3291	O43497
3562	O43497
16362	O43497
4499	O43497
4507	O43497
68540	O43497
5284583	O43497
1547484	O43497
2520	O43497
33630	O43497
60662	O43497
5362471	Q15825
4737	Q15825
5831	Q15825
13221	Q15825
4168	Q15825
6321303	Q15825
121587	Q15825
5938	Q15825
23422	Q15825
89594	Q15825
21155870	Q15825
6419928	Q15825
2735102	Q15825
9795678	Q15825
3019	Q96T54
2520	Q96T54
3446	O75762
4485	O75762
1775	O75762
3562	O75762
16362	O75762
4499	O75762
4507	O75762
1547484	O75762
2520	O75762
3019	Q9NS40
5281065	Q9NS40
2520	Q9NS40
2519	O15547
3019	B3KQH8
91725	B3KQH8
2520	B3KQH8
135398737	O95264
5358	O95264
4828	O95264
65340	O95264
6918003	O95264
59774	O95264
4168	O95264
656664	O95264
3446	Q9NY47
4485	Q9NY47
1775	Q9NY47
3562	Q9NY47
16362	Q9NY47
4499	Q9NY47
4507	Q9NY47
1547484	Q9NY47
2520	Q9NY47
3019	Q32MC1
2520	Q32MC1
2554	A0A090N7X8
3114	A0A090N7X8
3446	A0A090N7X8
1775	A0A090N7X8
5734	A0A090N7X8
2337	A0A090N7X8
68540	A0A090N7X8
5070	A0A090N7X8
2520	A0A090N7X8
3019	Q92953
2723885	Q92953
61367	Q92953
2520	Q92953
9795678	Q92953
3446	Q7Z3S7
3784	Q7Z3S7
4485	Q7Z3S7
4497	Q7Z3S7
1775	Q7Z3S7
3562	Q7Z3S7
16362	Q7Z3S7
4499	Q7Z3S7
4507	Q7Z3S7
1547484	Q7Z3S7
2520	Q7Z3S7
3019	B2RDS2
64642	B2RDS2
5281065	B2RDS2
64640	B2RDS2
2520	B2RDS2
3019	Q9Y6J6
2520	Q9Y6J6
