Drug	Protein
66259	P18089
8248	P18089
157313	P18089
54405	P18089
5815	P18089
65328	P18089
2520	P18089
6431825	P18089
23724898	P18089
2803	Q4W594
91430	Q4W594
20179	Q4W594
71401	Q4W594
68552	Q4W594
68546	Q4W594
49659	Q4W594
441411	Q4W594
66259	Q4W594
8248	Q4W594
54405	Q4W594
5815	Q4W594
65328	Q4W594
6431825	Q4W594
23724898	Q4W594
5816	P08588
2249	P08588
2585	P08588
39147	P08588
4485	P08588
135398745	P08588
62882	P08588
4828	P08588
107952	P08588
441308	P08588
65324	P08588
62937	P08588
6100	P08588
441411	P08588
5807	P08588
27072	P08588
656677	P08588
5815	P08588
656783	P08588
1978	P08588
2405	P08588
4171	P08588
31477	P08588
5311064	P08588
2157	P08588
11954344	P08588
167446	P08588
36811	P08588
3038222	P08588
208850	P08588
3762	P08588
5816	X5DQM5
2249	X5DQM5
2585	X5DQM5
39147	X5DQM5
4485	X5DQM5
135398745	X5DQM5
62882	X5DQM5
4828	X5DQM5
107952	X5DQM5
441308	X5DQM5
65324	X5DQM5
62937	X5DQM5
6100	X5DQM5
39859	X5DQM5
35329	X5DQM5
56801	X5DQM5
441334	X5DQM5
441411	X5DQM5
65326	X5DQM5
5807	X5DQM5
27072	X5DQM5
656677	X5DQM5
2083	X5DQM5
5815	X5DQM5
656783	X5DQM5
1978	X5DQM5
2405	X5DQM5
33572	X5DQM5
31477	X5DQM5
11954344	X5DQM5
167446	X5DQM5
36811	X5DQM5
3038222	X5DQM5
208850	X5DQM5
5152	X5DQM5
2585	A8KAG8
39147	A8KAG8
4485	A8KAG8
135398745	A8KAG8
62882	A8KAG8
4828	A8KAG8
441411	A8KAG8
5807	A8KAG8
27072	A8KAG8
656677	A8KAG8
5815	A8KAG8
656783	A8KAG8
1978	A8KAG8
31477	A8KAG8
11954344	A8KAG8
36811	A8KAG8
6047	P21728
122142	P21728
2726	P21728
135398737	P21728
135398745	P21728
4917	P21728
4748	P21728
16362	P21728
49659	P21728
667467	P21728
1547484	P21728
5440	P21728
4940	P21728
4078	P21728
6047	A0A024R3C5
3559	A0A024R3C5
2726	A0A024R3C5
135398737	A0A024R3C5
135398745	A0A024R3C5
4917	A0A024R3C5
4927	A0A024R3C5
4748	A0A024R3C5
16362	A0A024R3C5
4168	A0A024R3C5
31100	A0A024R3C5
667467	A0A024R3C5
54746	A0A024R3C5
60795	A0A024R3C5
1547484	A0A024R3C5
5282421	A0A024R3C5
3151	A0A024R3C5
3964	A0A024R3C5
5440	A0A024R3C5
4940	A0A024R3C5
4078	A0A024R3C5
31101	A0A024R3C5
122142	X5D2G4
3559	X5D2G4
2726	X5D2G4
135398745	X5D2G4
4917	X5D2G4
4748	X5D2G4
166589	X5D2G4
16362	X5D2G4
4168	X5D2G4
60795	X5D2G4
1547484	X5D2G4
3964	X5D2G4
4078	X5D2G4
135398737	P21917
135398745	P21917
5440	P21917
4940	P21917
2726	P21918
135398737	P21918
135398745	P21918
4917	P21918
16362	P21918
49659	P21918
1547484	P21918
4078	P21918
60846	Q53YY0
5833	Q53YY0
2541	Q53YY0
3749	Q53YY0
65999	Q53YY0
5282474	Q53YY0
5281037	Q53YY0
158781	Q53YY0
185462	P25101
185462	P24530
66250	Q5T6X5
104152	Q5T6X5
69568	Q5T6X5
54384	O95665
2284	Q59HG8
2519	Q99677
5070	Q59HC2
5070	Q14416
156665	Q14416
5070	A4D1D0
156665	A4D1D0
5070	A1L4F9
5070	P41594
5070	O15303
156665	O15303
5070	Q59G95
5070	O00222
2329	O00222
156665	O00222
2247	P35367
135398737	P35367
3100	P35367
3957	P35367
135398745	P35367
6014	P35367
4917	P35367
4927	P35367
10660	P35367
5405	P35367
5281068	P35367
23724780	P35367
63030	P35367
1547484	P35367
4066	P35367
5282408	P35367
157313	P35367
54384	P35367
5284472	P35367
11224	P35367
5440	P35367
4940	P35367
4011	P35367
6726	P35367
14677	P35367
50294	P35367
2756	P25021
5702160	P25021
3001055	P25021
3033637	P25021
3033332	P25021
157313	P25021
50963	P25021
135398737	A8K5W4
5358	A8K5W4
4828	A8K5W4
4168	A8K5W4
5265	A8K5W4
60795	A8K5W4
656631	A8K5W4
135398737	A8K215
60857	A8K215
5358	A8K215
4828	A8K215
77997	A8K215
59772	A8K215
4168	A8K215
656631	A8K215
9907628	A8K215
19610426	A8K215
135398737	P28221
60857	P28221
5358	P28221
4828	P28221
77997	P28221
59772	P28221
4168	P28221
656631	P28221
9907628	P28221
19610426	P28221
135398737	P28566
5358	P28566
4828	P28566
4168	P28566
656631	P28566
135398737	P30939
5358	P30939
4828	P30939
60875	P30939
59772	P30939
4168	P30939
656631	P30939
2726	P28223
135398737	P28223
5073	P28223
5358	P28223
135398745	P28223
4917	P28223
4927	P28223
4828	P28223
4205	P28223
4168	P28223
5265	P28223
60795	P28223
68551	P28223
157313	P28223
3964	P28223
5440	P28223
9681	P28223
4940	P28223
4078	P28223
135398737	P41595
5358	P41595
4828	P41595
4168	P41595
60795	P41595
656631	P41595
135398737	P28335
5358	P28335
135398745	P28335
4828	P28335
4205	P28335
4168	P28335
60795	P28335
5440	P28335
4940	P28335
82148	P28335
2769	A0A2D3FAF9
135398737	A0A2D3FAF9
5358	A0A2D3FAF9
4828	A0A2D3FAF9
4168	A0A2D3FAF9
6918047	A0A2D3FAF9
135409453	A0A2D3FAF9
3035241	A0A2D3FAF9
135398737	A4D2N2
5358	A4D2N2
4828	A4D2N2
4168	A4D2N2
135398737	P50406
5358	P50406
135398745	P50406
4828	P50406
4168	P50406
135398737	P34969
5265	P34969
656631	P34969
938	A0A4Y1JWQ0
4114	P25024
2118	P25024
5505	P25024
5584	P25024
4174	P25024
4485	P25024
2519	P25024
3562	P25024
2145	P25024
3608	P25024
82148	P48039
16362	P41143
5284603	P41143
122142	P41145
5462346	P41145
3033053	P41145
5284603	P41145
23724775	G8XRH5
441278	G8XRH5
5462346	G8XRH5
3033053	G8XRH5
65494	G8XRH5
15130	G8XRH5
5360515	G8XRH5
5284603	G8XRH5
41693	G8XRH5
2519	P47900
2519	P41231
2519	P51582
2519	A0A024R5I9
2519	Q96G91
216322	X5D2B0
216322	P30518
5717	B4E292
5717	A4ZKH2
50294	A4ZKH2
65889	P25105
50294	Q13258
5280723	P34995
5281074	P34995
5311181	P34995
5312153	P34995
5280723	P43116
5282381	P43116
5311035	P43116
5282381	P43115
5311225	P43115
5312153	P43115
5311221	P43088
5282415	P43088
5282226	P43088
5280360	P43119
5280723	P43119
5282415	P43119
5311181	P43119
2247	Q9H3N8
135398737	Q9H3N8
3100	Q9H3N8
5702160	Q9H3N8
4927	Q9H3N8
4011	Q9H3N8
985	P08100
5280427	A8K7T1
2519	A8K7T1
115366	A8K7T1
383414	Q86SW9
383414	P30874
441258	P30874
441258	P32745
441258	P35346
3488	Q0VAB0
54343	Q0VAB0
656609	P34981
5282469	P34981
6917793	P34981
4737	P49019
5831	P49019
4168	P49019
89594	P49019
16129675	P32238
16129675	P32239
444795	Q8NFJ5
123596	O60883
2519	A5JUU3
