param_database	param_hidden_channels	param_learning_rate	param_nb_hidden_layer	param_layer_type	param_act	param_aggr_type	param_n_heads	param_p	auc_train	auc_val	auc_test	aupr_train	aupr_val	aupr_test	iter	time
drugbank	9	0.01	4	sage	tanh	sum		0.5	0.91966	0.923073	0.925356	0.927839869566494	0.9287562540100736	0.9295557223400764	999	0.8855696678161621
drugbank	10	0.01	4	sage	tanh	sum		0.0	0.946535	0.931998	0.927267	0.9489880485329591	0.9327010171407404	0.9316160977981628	757	0.6602153658866883
drugbank	10	0.01	4	sage	tanh	sum		0.2	0.938665	0.930777	0.935746	0.9433732094892776	0.9353739604004156	0.9391548248880622	999	0.8916439016660055
drugbank	10	0.01	4	sage	tanh	sum		0.5	0.931666	0.926274	0.934908	0.9377204917578772	0.9317779122449577	0.9377630904209056	999	0.8823022842407227
drugbank	11	0.01	4	sage	tanh	sum		0.0	0.943147	0.92572	0.928811	0.9418645664738312	0.9289578985361064	0.9260083218254698	932	0.8209726095199585
drugbank	11	0.01	4	sage	tanh	sum		0.2	0.944466	0.930421	0.940076	0.9486072825360016	0.93091018044966	0.9421972854378212	999	0.8763478636741638
drugbank	11	0.01	4	sage	tanh	sum		0.5	0.922371	0.932653	0.931218	0.9304667141468204	0.9380385913543796	0.9369709190964922	999	0.88779243628184
drugbank	12	0.01	4	sage	tanh	sum		0.0	0.925115	0.915816	0.910676	0.9305493678353544	0.921699980078023	0.9133125039494732	999	0.8316562453905741
drugbank	12	0.01	4	sage	tanh	sum		0.2	0.942845	0.927358	0.942392	0.947057628477556	0.9298168583852996	0.9437142409294615	512	0.4470531304677327
drugbank	12	0.01	4	sage	tanh	sum		0.5	0.927558	0.934548	0.933349	0.9366796998633364	0.9381486450262664	0.9373770590138336	999	0.8898375074068705
drugbank	13	0.01	4	sage	tanh	sum		0.0	0.924518	0.916039	0.927122	0.9314317334286044	0.9180082714249144	0.9309702999488568	226	0.2022056738535563
drugbank	13	0.01	4	sage	tanh	sum		0.2	0.947235	0.93196	0.935976	0.9496916707184608	0.9352485772833096	0.9359333741589484	999	0.879110825061798
drugbank	13	0.01	4	sage	tanh	sum		0.5	0.934059	0.930649	0.934077	0.9413115760824208	0.9370178896008712	0.9375445754229964	999	0.8734711011250814
drugbank	14	0.01	4	sage	tanh	sum		0.0	0.941822	0.925158	0.928515	0.944605272693315	0.9320992593222333	0.932938158463799	420	0.3682216246922811
drugbank	14	0.01	4	sage	tanh	sum		0.2	0.940511	0.935638	0.93705	0.9458174885778348	0.9394169780585784	0.940405960981726	999	0.8795567154884338
drugbank	14	0.01	4	sage	tanh	sum		0.5	0.921664	0.926729	0.925082	0.9303266856068112	0.93235024170905	0.9275605053502114	999	0.8961787780125936
drugbank	15	0.01	4	sage	tanh	sum		0.0	0.940262	0.925102	0.929913	0.9448039126451384	0.9275916907622092	0.933244468563455	336	0.3020609299341837
drugbank	15	0.01	4	sage	tanh	sum		0.2	0.948388	0.937776	0.92838	0.9530849067649034	0.9393533725334198	0.9311132943100672	999	0.9087166865666708
drugbank	15	0.01	4	sage	tanh	sum		0.5	0.92526	0.936217	0.932719	0.935221132654514	0.9401951464997051	0.9348175917080556	999	0.9163015325864156
drugbank	20	0.01	4	sage	tanh	sum		0.0	0.951286	0.934938	0.934931	0.9561221335105284	0.9396147964686612	0.9377069412588857	637	0.6225529909133911
drugbank	20	0.01	4	sage	tanh	sum		0.2	0.940187	0.928041	0.933502	0.9477533649794808	0.9313134553650428	0.9349826635076178	842	0.8293489575386047
drugbank	20	0.01	4	sage	tanh	sum		0.5	0.92898	0.935765	0.936948	0.932307636978625	0.938572034114046	0.939185564346841	999	0.9864435911178588
drugbank	25	0.01	4	sage	tanh	sum		0.0	0.945745	0.929558	0.934633	0.950364295949735	0.935073993272984	0.9363575214429556	373	0.3753471493721008
drugbank	25	0.01	4	sage	tanh	sum		0.2	0.947315	0.92983	0.932312	0.9519471935217684	0.934589641945079	0.9362629396381592	833	0.8502850492795309
drugbank	25	0.01	4	sage	tanh	sum		0.5	0.931825	0.934576	0.936498	0.9398549224846956	0.9392880386895136	0.9400749787656923	999	1.0126906156539917
drugbank	40	0.01	4	sage	tanh	sum		0.0	0.908276	0.908452	0.911541	0.9027924845409594	0.8994335066550884	0.9041298302867936	171	0.1784578800201416
drugbank	40	0.01	4	sage	tanh	sum		0.2	0.951744	0.934042	0.931984	0.9555655886575884	0.93708345675971	0.9361483501258836	705	0.7292032678922017
drugbank	40	0.01	4	sage	tanh	sum		0.5	0.939463	0.935684	0.937656	0.945668506408629	0.939422632108005	0.9389869073669208	999	1.030110200246175
drugbank	50	0.01	4	sage	tanh	sum		0.0	0.896576	0.893748	0.896327	0.8844282474069981	0.8840983872725612	0.8770041490085557	242	0.2509769002596537
drugbank	50	0.01	4	sage	tanh	sum		0.2	0.884005	0.881031	0.872768	0.8692835524080396	0.8599758888965533	0.8458989624709858	279	0.28664444287618
drugbank	50	0.01	4	sage	tanh	sum		0.5	0.936543	0.937087	0.935405	0.938805632959526	0.9418202937399645	0.9390882887820138	999	1.0917561531066895
drugbank	100	0.01	4	sage	tanh	sum		0.0	0.882776	0.886842	0.889939	0.8888729829568113	0.8853411155894003	0.8879912584570719	41	0.0453432321548461
drugbank	100	0.01	4	sage	tanh	sum		0.2	0.951278	0.932421	0.932342	0.9552305278209006	0.9383719460595054	0.9351305996024566	579	0.6307782332102457
drugbank	100	0.01	4	sage	tanh	sum		0.5	0.947165	0.932774	0.942424	0.9526021691337035	0.9362585095422324	0.9438596553700116	797	0.7926111936569213
drugbank	3	0.01	4	sage	tanh	sum		0.0	0.92145	0.906028	0.909945	0.9236882239125536	0.90497634720407	0.9097521978875692	893	0.7183307528495788
drugbank	3	0.01	4	sage	tanh	sum		0.2	0.910096	0.906574	0.90223	0.919523040459214	0.9138984939534318	0.912184399104766	999	0.7468330105145772
drugbank	3	0.01	4	sage	tanh	sum		0.5	0.873893	0.879742	0.887777	0.870084470339783	0.8764027945873573	0.8759904564299884	999	0.741717251141866
drugbank	4	0.01	4	sage	tanh	sum		0.0	0.918141	0.891752	0.879555	0.9256101017523586	0.900927668476257	0.8998326582968628	439	0.3165185332298278
drugbank	4	0.01	4	sage	tanh	sum		0.2	0.917445	0.91769	0.92556	0.9264867712369204	0.9226059631435212	0.9304052099727976	999	0.7234518567721049
drugbank	4	0.01	4	sage	tanh	sum		0.5	0.902035	0.910321	0.91142	0.9163131874499972	0.9207446430198538	0.918852163004178	999	0.7260760426521301
drugbank	5	0.01	4	sage	tanh	sum		0.0	0.937587	0.921021	0.927867	0.941128115515218	0.9243522080469648	0.931529698732528	727	0.52110382715861
drugbank	5	0.01	4	sage	tanh	sum		0.2	0.922454	0.921971	0.925059	0.928937266261228	0.926896709418376	0.928585626801374	999	0.7166726350784302
drugbank	5	0.01	4	sage	tanh	sum		0.5	0.913345	0.907269	0.917682	0.9247762231088896	0.9187227485157784	0.9236084567945572	999	0.7266160488128662
drugbank	6	0.01	4	sage	tanh	sum		0.0	0.938898	0.924083	0.918823	0.943219634188119	0.921403942432898	0.9166307919521308	848	0.6177008787790934
drugbank	6	0.01	4	sage	tanh	sum		0.2	0.932265	0.932506	0.937771	0.9377839630405396	0.9385345284889082	0.9411582314421738	999	0.726145350933075
drugbank	6	0.01	4	sage	tanh	sum		0.5	0.912393	0.917115	0.919287	0.9254013617950402	0.9254670462810052	0.9239508265457682	999	0.7233177065849304
drugbank	7	0.01	4	sage	tanh	sum		0.0	0.927652	0.912914	0.903929	0.935978562402244	0.9141299190970196	0.9096041917843968	689	0.5067297697067261
drugbank	7	0.01	4	sage	tanh	sum		0.2	0.938542	0.926456	0.932098	0.9449836974982996	0.9288592142726972	0.929073764790662	999	0.7317232728004456
drugbank	7	0.01	4	sage	tanh	sum		0.5	0.916417	0.917175	0.927268	0.9266836705612802	0.9261175355147132	0.9320886566117932	999	0.7269448439280192
drugbank	8	0.01	4	sage	tanh	sum		0.0	0.944152	0.927237	0.939559	0.9478169389902972	0.9310132089889616	0.9407247919716472	538	0.389039667447408
drugbank	8	0.01	4	sage	tanh	sum		0.2	0.940178	0.93303	0.931998	0.9453527876948676	0.9381211509875244	0.9359873198968682	999	0.7311511635780334
drugbank	8	0.01	4	sage	tanh	sum		0.5	0.91771	0.925738	0.925834	0.9290523422234244	0.9307970791060968	0.9319594146680964	999	0.7311011910438537
drugbank	9	0.01	4	sage	tanh	sum		0.0	0.939999	0.9254	0.931158	0.9455982290763896	0.924901242928178	0.9344710240883438	476	0.3468243479728699
drugbank	9	0.01	4	sage	tanh	sum		0.2	0.926083	0.930983	0.93085	0.9343398273892768	0.9371706285469744	0.9352218662064288	999	0.7313695867856344
drugbank	9	0.01	4	sage	tanh	sum		0.5	0.928323	0.933557	0.934383	0.9374255401079206	0.9398573279316248	0.9360424193092348	999	0.7333702087402344
drugbank	10	0.01	4	sage	tanh	sum		0.0	0.940972	0.92615	0.92928	0.9469092435746782	0.9282976437293672	0.9299517146240844	579	0.4173503835995992
drugbank	10	0.01	4	sage	tanh	sum		0.2	0.93647	0.929331	0.932279	0.9431459991192056	0.9341727926647144	0.9356771148191184	999	0.7393118739128113
drugbank	10	0.01	4	sage	tanh	sum		0.5	0.918317	0.927296	0.93208	0.929326967044334	0.9322664076194468	0.9376126774230856	999	0.7341610391934713
drugbank	11	0.01	4	sage	tanh	sum		0.0	0.938722	0.927778	0.929534	0.943653464467026	0.9269556886756932	0.9304081486774058	543	0.393036405245463
drugbank	11	0.01	4	sage	tanh	sum		0.2	0.93844	0.928322	0.937296	0.9431404426067532	0.9315081844745704	0.9389097771926116	999	0.7273096799850464
drugbank	11	0.01	4	sage	tanh	sum		0.5	0.923133	0.92621	0.931296	0.9322180612933934	0.9340727816700266	0.9353218732275668	999	0.7179887811342875
drugbank	12	0.01	4	sage	tanh	sum		0.0	0.937142	0.920545	0.932543	0.9443353607656984	0.9259374791429476	0.934717200018705	527	0.3782055974006653
drugbank	12	0.01	4	sage	tanh	sum		0.2	0.948292	0.931906	0.937115	0.9528610619585582	0.935509745061801	0.9417444806192676	999	0.7255433479944865
drugbank	12	0.01	4	sage	tanh	sum		0.5	0.928287	0.929917	0.937933	0.9368559899429896	0.9331790870495834	0.940128703469681	999	0.7265126705169678
drugbank	13	0.01	4	sage	tanh	sum		0.0	0.941234	0.926461	0.934462	0.944512921246255	0.9314649260562798	0.9336979094082556	665	0.4799022157986959
drugbank	13	0.01	4	sage	tanh	sum		0.2	0.940509	0.937138	0.937241	0.9480388422637231	0.9426410649288138	0.9408729561815604	999	0.7259632309277853
drugbank	13	0.01	4	sage	tanh	sum		0.5	0.933836	0.931723	0.93694	0.9429156002897086	0.936936267040507	0.9390856102878014	999	0.7260967413584392
drugbank	14	0.01	4	sage	tanh	sum		0.0	0.943178	0.928685	0.938913	0.9483749837411848	0.9335582566706652	0.9441444615685526	453	0.3259433468182882
drugbank	14	0.01	4	sage	tanh	sum		0.2	0.936824	0.933065	0.93514	0.9418186567449692	0.9384796127449448	0.9387742526129704	999	0.7266128301620484
drugbank	14	0.01	4	sage	tanh	sum		0.5	0.931304	0.926212	0.929917	0.937011034753704	0.9293243833474948	0.9337994454080438	999	0.7293687144915263
drugbank	15	0.01	4	sage	tanh	sum		0.0	0.939616	0.918	0.933429	0.9447265276130598	0.927070907522032	0.9359585116124444	434	0.3160644054412841
drugbank	15	0.01	4	sage	tanh	sum		0.2	0.94733	0.935458	0.939138	0.9501663946158128	0.936582122510603	0.941918789628772	999	0.731498384475708
drugbank	15	0.01	4	sage	tanh	sum		0.5	0.937362	0.936871	0.934325	0.944467439978096	0.9414035714815118	0.9387485346124927	999	0.7304389158884684
drugbank	20	0.01	4	sage	tanh	sum		0.0	0.941277	0.924857	0.931874	0.94817234305024	0.9335227621297388	0.936255532561306	323	0.2591392795244853
drugbank	20	0.01	4	sage	tanh	sum		0.2	0.948762	0.931142	0.937034	0.9528617454157496	0.936362682246667	0.9391870608781868	757	0.6196532924969991
drugbank	20	0.01	4	sage	tanh	sum		0.5	0.932254	0.936093	0.938763	0.939019728756184	0.9422935720185868	0.9399138049595628	999	0.8231934626897176
drugbank	25	0.01	4	sage	tanh	sum		0.0	0.942186	0.926561	0.930372	0.9461478532210398	0.9332443623764872	0.9331871495505152	276	0.2335853020350138
drugbank	25	0.01	4	sage	tanh	sum		0.2	0.889717	0.893578	0.895633	0.8845019980556228	0.8836216010784662	0.8836496946188419	71	0.0627186338106791
drugbank	25	0.01	4	sage	tanh	sum		0.5	0.940128	0.933899	0.942061	0.945051624763384	0.9355456931111784	0.9430191066022298	999	0.844296415646871
drugbank	40	0.01	4	sage	tanh	sum		0.0	0.943554	0.926541	0.931241	0.9465241501435552	0.9292177602913204	0.9338326197911944	401	0.3407182375590006
drugbank	40	0.01	4	sage	tanh	sum		0.2	0.947891	0.931571	0.937364	0.9539740590522984	0.9349941892470172	0.93992660133356	639	0.5433177908261617
drugbank	40	0.01	4	sage	tanh	sum		0.5	0.948042	0.93413	0.940757	0.9527123163229656	0.9364599772208024	0.939973073179052	924	0.77868625720342
drugbank	50	0.01	4	sage	tanh	sum		0.0	0.910228	0.910599	0.916893	0.9112783241358696	0.899430362060651	0.9118999552544188	134	0.1135246555010477
drugbank	50	0.01	4	sage	tanh	sum		0.2	0.946241	0.932418	0.933718	0.9515274553661608	0.9374702052760104	0.9365665215889474	634	0.5379111369450887
drugbank	50	0.01	4	sage	tanh	sum		0.5	0.945149	0.927537	0.940816	0.9510160461085884	0.9339360374346698	0.9449440145453978	841	0.7154633124669393
drugbank	100	0.01	4	sage	tanh	sum		0.0	0.942965	0.926919	0.931212	0.9467592459614214	0.9291913385191574	0.9337694346807016	670	0.5664651075998942
drugbank	100	0.01	4	sage	tanh	sum		0.2	0.94722	0.935315	0.939681	0.9534185939369269	0.9378479980872788	0.9417305939225832	620	0.515818190574646
drugbank	100	0.01	4	sage	tanh	sum		0.5	0.940335	0.932604	0.938868	0.9481912071392776	0.9373818979534746	0.9421211012633692	999	0.8228967587153116
drugbank	3	0.01	4	sage	tanh	sum		0.0	0.936552	0.924952	0.92574	0.938432254290423	0.9312933912130767	0.9296933668351592	999	0.7332205216089884
drugbank	3	0.01	4	sage	tanh	sum		0.2	0.88704	0.877327	0.878047	0.9030637539347348	0.8866426182590714	0.8850602217495144	47	0.036010722319285
drugbank	3	0.01	4	sage	tanh	sum		0.5	0.89743	0.899	0.913015	0.8999505616341639	0.8973085985224128	0.9082774578318744	999	0.7391319115956624
drugbank	4	0.01	4	sage	tanh	sum		0.0	0.93307	0.91787	0.920916	0.9391122898165514	0.9233765228771432	0.927390062286552	556	0.4219134966532389
drugbank	4	0.01	4	sage	tanh	sum		0.2	0.912083	0.925266	0.927299	0.921421922450868	0.930196696380429	0.9314471226667004	999	0.780046260356903
drugbank	4	0.01	4	sage	tanh	sum		0.5	0.910659	0.922407	0.917884	0.9223588577873872	0.9300644268999204	0.9234806903414404	999	0.7912456909815471
drugbank	5	0.01	4	sage	tanh	sum		0.0	0.927699	0.917299	0.923209	0.936216562037169	0.9211405271502966	0.9288115410218936	999	0.7926968495051067
drugbank	5	0.01	4	sage	tanh	sum		0.2	0.916376	0.920591	0.918824	0.9245825165633572	0.9250792588793704	0.9232526146866576	999	0.8167919357617696
drugbank	5	0.01	4	sage	tanh	sum		0.5	0.914411	0.914974	0.920123	0.9257340823610632	0.9217625246614148	0.9256391785588975	999	0.8345085859298706
drugbank	6	0.01	4	sage	tanh	sum		0.0	0.948184	0.931094	0.934874	0.951230051737328	0.9376516233782244	0.93596068933116	854	0.7049368103345235
drugbank	6	0.01	4	sage	tanh	sum		0.2	0.93189	0.925427	0.931006	0.9384094738587778	0.9305597141872324	0.9341473885972196	999	0.8372816324234009
drugbank	6	0.01	4	sage	tanh	sum		0.5	0.913586	0.913856	0.921917	0.925584168449516	0.9224947459992472	0.9285690215266929	999	0.8748826662699382
drugbank	7	0.01	4	sage	tanh	sum		0.0	0.938276	0.927978	0.929682	0.94566477279996	0.931391146697908	0.932333856281856	989	0.8575710733731587
drugbank	7	0.01	4	sage	tanh	sum		0.2	0.929174	0.925958	0.938254	0.9377270057987556	0.9300546410775624	0.9412906944566384	999	0.876898725827535
drugbank	7	0.01	4	sage	tanh	sum		0.5	0.919105	0.922194	0.933449	0.9300069370871468	0.9309276165675712	0.9378546669481505	999	0.8762005607287089
drugbank	8	0.01	4	sage	tanh	sum		0.0	0.945446	0.929403	0.929818	0.949734387864846	0.9356299012529752	0.934800213129098	551	0.4810667435328166
drugbank	8	0.01	4	sage	tanh	sum		0.2	0.93536	0.931193	0.936689	0.9417302911726022	0.9340527608172806	0.9404764613337346	999	0.8724955956141154
drugbank	8	0.01	4	sage	tanh	sum		0.5	0.931571	0.928643	0.937535	0.939845430247498	0.9336329560739172	0.9403307904718088	999	0.8744755506515502
drugbank	9	0.01	4	sage	tanh	sum		0.0	0.937325	0.920595	0.928104	0.9438546246647644	0.9263947652349276	0.9298801122701577	504	0.4152060826619466
drugbank	9	0.01	4	sage	tanh	sum		0.2	0.940006	0.934476	0.939253	0.946492918065334	0.9368158491559734	0.9416194363032284	999	0.8875543951988221
drugbank	9	0.01	4	sage	tanh	sum		0.5	0.92331	0.926917	0.930869	0.931916170076252	0.9310285956710268	0.936196457228654	999	0.8837662061055501
drugbank	10	0.01	4	sage	tanh	sum		0.0	0.932719	0.920338	0.925614	0.9384994196566296	0.9222027989330378	0.9276084450315798	628	0.5496958454449972
drugbank	10	0.01	4	sage	tanh	sum		0.2	0.942767	0.932335	0.93612	0.9484166706191176	0.93496602799587	0.9394827114967712	999	0.8840554634730021
drugbank	10	0.01	4	sage	tanh	sum		0.5	0.925052	0.927746	0.928924	0.93063960354269	0.9363067542602852	0.932837552934664	999	0.8901341120402019
drugbank	11	0.01	4	sage	tanh	sum		0.0	0.94657	0.93009	0.935711	0.95071171431748	0.9348681233988052	0.9379343435226724	517	0.4528722127278646
drugbank	11	0.01	4	sage	tanh	sum		0.2	0.931506	0.93521	0.927233	0.9394880691083244	0.9407272944983218	0.9314461844720732	999	0.8838473121325175
drugbank	11	0.01	4	sage	tanh	sum		0.5	0.918157	0.928391	0.929921	0.925356476578177	0.9315365120992156	0.9341724560723144	999	0.8859314521153768
drugbank	12	0.01	4	sage	tanh	sum		0.0	0.944527	0.928142	0.93548	0.9485720046622936	0.9305892625873496	0.9385188977681412	422	0.3701605876286825
drugbank	12	0.01	4	sage	tanh	sum		0.2	0.943827	0.936506	0.932472	0.9487950882477554	0.9413672125774236	0.9363475623702896	999	0.8896570761998495
drugbank	12	0.01	4	sage	tanh	sum		0.5	0.93219	0.934686	0.937459	0.9393353535636092	0.9381300013414872	0.9367814995864224	999	0.8724129438400269
drugbank	13	0.01	4	sage	tanh	sum		0.0	0.937652	0.921471	0.934502	0.9444184187684808	0.9247781031656012	0.9337914908156612	222	0.1879694819450378
drugbank	13	0.01	4	sage	tanh	sum		0.2	0.934792	0.928787	0.934357	0.9413873402734338	0.9344034285785828	0.9359457890702272	999	0.8976670145988465
drugbank	13	0.01	4	sage	tanh	sum		0.5	0.926055	0.929272	0.935918	0.93509031577464	0.9342087782395708	0.9393895536781374	999	0.8654693086942037
drugbank	14	0.01	4	sage	tanh	sum		0.0	0.935551	0.916919	0.929567	0.9406215370323066	0.9230695431930342	0.9328695575489911	533	0.4615372697512309
drugbank	14	0.01	4	sage	tanh	sum		0.2	0.938709	0.93581	0.93373	0.9441408933257414	0.9384604683055338	0.9371179832473178	999	0.8658479452133179
drugbank	14	0.01	4	sage	tanh	sum		0.5	0.931735	0.925775	0.93847	0.9388543166091164	0.928494006873378	0.9395678896688432	999	0.8814330101013184
drugbank	15	0.01	4	sage	tanh	sum		0.0	0.941312	0.920071	0.921567	0.9445191360137548	0.9245155805119776	0.9224454694957032	419	0.3765169024467468
drugbank	15	0.01	4	sage	tanh	sum		0.2	0.946956	0.929823	0.937089	0.9517371335289836	0.9346958303392566	0.9401113150975512	616	0.5552583336830139
drugbank	15	0.01	4	sage	tanh	sum		0.5	0.929123	0.926903	0.933962	0.9361031754870184	0.9334097080687276	0.9384902803485924	999	0.9080342968304952
drugbank	20	0.01	4	sage	tanh	sum		0.0	0.947849	0.913512	0.899156	0.9511513484446532	0.9233803603896048	0.9094610576768772	744	0.7118845820426941
drugbank	20	0.01	4	sage	tanh	sum		0.2	0.946239	0.936574	0.936216	0.9505172487446624	0.9370732942993146	0.9353077717041236	999	0.9775473197301228
drugbank	20	0.01	4	sage	tanh	sum		0.5	0.934186	0.927586	0.935914	0.9398862368744146	0.9310952199418364	0.9407724147605084	999	0.978548777103424
drugbank	25	0.01	4	sage	tanh	sum		0.0	0.941697	0.922276	0.930318	0.9456512710802168	0.9266551418802852	0.9303048980440506	418	0.4231076558430989
drugbank	25	0.01	4	sage	tanh	sum		0.2	0.914363	0.90274	0.906273	0.9175819033827018	0.9033511284918108	0.9060855309346452	41	0.0412949045499165
drugbank	25	0.01	4	sage	tanh	sum		0.5	0.942504	0.930284	0.933543	0.949504085404764	0.931086936398722	0.9355206987429588	999	1.0185906807581584
drugbank	40	0.01	4	sage	tanh	sum		0.0	0.945165	0.925747	0.931383	0.9500683364254016	0.9309843353039088	0.934046177147842	514	0.5279802044232687
drugbank	40	0.01	4	sage	tanh	sum		0.2	0.946249	0.931533	0.939008	0.9536065731623125	0.9368384322712452	0.941377158456418	801	0.8246657729148865
drugbank	40	0.01	4	sage	tanh	sum		0.5	0.939242	0.927847	0.937573	0.9470845328353904	0.931323248159744	0.9394241466072554	780	0.7969420115152995
drugbank	50	0.01	4	sage	tanh	sum		0.0	0.945752	0.930395	0.934073	0.9503999417450172	0.9309794977824905	0.9353399241545912	370	0.3817157546679179
drugbank	50	0.01	4	sage	tanh	sum		0.2	0.950789	0.932963	0.929927	0.9554126693646215	0.9357352314808745	0.9292042648242768	802	0.8462440371513367
drugbank	50	0.01	4	sage	tanh	sum		0.5	0.94826	0.93542	0.942078	0.9548760480875272	0.9416718368894146	0.9447244158267634	979	1.0199782689412435
drugbank	100	0.01	4	sage	tanh	sum		0.0	0.897483	0.904258	0.904944	0.9063273597457496	0.9114566079226788	0.9101856833344394	96	0.1045565088589986
drugbank	100	0.01	4	sage	tanh	sum		0.2	0.944098	0.929404	0.932322	0.950091421784202	0.933946025988828	0.933657531194867	471	0.5173525134722392
drugbank	100	0.01	4	sage	tanh	sum		0.5	0.937679	0.933129	0.938903	0.9433178424377572	0.9338541232050152	0.942415530780512	999	1.0825844804445903
drugbank	3	0.01	4	sage	tanh	sum		0.0	0.919242	0.916104	0.918286	0.9265999141283524	0.9223539358382956	0.9200459834979248	999	0.7518603444099426
drugbank	3	0.01	4	sage	tanh	sum		0.2	0.913697	0.915474	0.924799	0.9240622076733452	0.9223235142128916	0.930962627348892	999	0.7202184279759725
drugbank	3	0.01	4	sage	tanh	sum		0.5	0.890229	0.888974	0.891977	0.9011090434940002	0.8993810632952766	0.8987385473419279	999	0.7065980593363445
drugbank	4	0.01	4	sage	tanh	sum		0.0	0.918683	0.916833	0.919398	0.9260931834028384	0.9168539119412388	0.9173136358690396	999	0.7841809471448262
drugbank	4	0.01	4	sage	tanh	sum		0.2	0.920374	0.916718	0.924776	0.931389678812432	0.9222373174773248	0.9287690836850976	999	0.8220265666643779
drugbank	4	0.01	4	sage	tanh	sum		0.5	0.906818	0.900889	0.908973	0.9186297024880709	0.909933153066646	0.9140018054310364	999	0.833815066019694
drugbank	5	0.01	4	sage	tanh	sum		0.0	0.909322	0.872937	0.873456	0.9177472450715904	0.897214742345727	0.8958172784709337	289	0.241128929456075
drugbank	5	0.01	4	sage	tanh	sum		0.2	0.923436	0.9171	0.922205	0.9316146655935552	0.9248647519950516	0.9281588548367504	999	0.8491871039072673
drugbank	5	0.01	4	sage	tanh	sum		0.5	0.920643	0.918183	0.917253	0.931743044462918	0.925809129357338	0.9230264667533576	999	0.8409644484519958
drugbank	6	0.01	4	sage	tanh	sum		0.0	0.944227	0.930537	0.927459	0.9477071054076128	0.9332907812191398	0.931134661402111	999	0.8611313740412394
drugbank	6	0.01	4	sage	tanh	sum		0.2	0.922502	0.927578	0.935347	0.9300206674049338	0.933342254836585	0.940418234140244	999	0.8687659064928691
drugbank	6	0.01	4	sage	tanh	sum		0.5	0.920845	0.919268	0.924933	0.930515433171806	0.9289281801539748	0.9290263615866112	999	0.8796464125315349
